dataset,model,architecture,protocol_version,keep_ratio,block_size,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std
cifar10,dense,cnn,protocol-v3,1.0,0,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.821562901396058,0.031346948345426756,12.558329846743263,0.18864746738719892,723.409747975277,1.0584783796695711,10.903968474781141,0.02231965804426297
cifar10,dense,mlp,protocol-v3,1.0,0,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.3735547040204377,0.05706357970009559,1.5558363111448614,0.031056077352997185,706.7273790494459,6.392141368745412,5.769566233386286,0.020365710372384934
cifar10,dropout,cnn,protocol-v3,0.2,0,5,0.6861200000000001,0.003973914946246302,0.6233679999999999,0.002200072726070702,5.92140190001415,0.005474501388034928,12.486554088675545,0.0035347456793217687,725.5040254688832,0.7609105382827039,10.953046166407876,0.016075658954083433
cifar10,dropout,cnn,protocol-v3,0.4,0,5,0.7310800000000001,0.005401573844723415,0.715644,0.0038863710579408422,5.922485025717056,0.001336104924562238,12.486817108055103,0.00909776960746254,725.7718563512361,1.2460823747707335,10.963456558191684,0.021173626561791337
cifar10,dropout,cnn,protocol-v3,0.6,0,5,0.7407600000000001,0.015395064144069036,0.7486200000000001,0.00701806241066578,5.924973113879906,0.0027055941605339156,12.489666952424017,0.00657288459650257,726.6783674339301,0.6033646275837571,10.945331174787134,0.014186113443235908
cifar10,dropout,cnn,protocol-v3,0.8,0,5,0.74726,0.00729780789004482,0.766052,0.007956602289922463,5.914295375710725,0.03123401943961926,12.491998457125892,0.007564894043393442,726.7313219309463,2.363457053439149,10.92640440859832,0.02673029719931925
cifar10,dropout,cnn,protocol-v3,1.0,0,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.812892135090121,0.007448905362136379,12.473560551491827,0.007353311382046509,723.5595881287297,1.235700772441763,10.890098233195022,0.011525718546471442
cifar10,dropout,mlp,protocol-v3,0.2,0,5,0.14094,0.018192663356419267,0.130752,0.008393921610308263,1.5647444059537465,0.00916636864298103,1.6025148278922743,0.0053944436328069775,708.2816576086956,0.7375828279554977,5.9879750918014905,0.029211011437861704
cifar10,dropout,mlp,protocol-v3,0.4,0,5,0.37002,0.00781293798772268,0.287244,0.0008011741383744228,1.560600866864878,0.006437736575163031,1.599394603777636,0.005021550851753829,708.2794597186701,2.0574377091672207,5.995271466614213,0.012097956388226683
cifar10,dropout,mlp,protocol-v3,0.6,0,5,0.44132,0.00811769671766567,0.383448,0.0021119943181741757,1.5579392204976894,0.004816553907581745,1.6005719725168324,0.004813180060597941,708.6114316922421,1.297990074434884,5.984067341603804,0.014046002160931896
cifar10,dropout,mlp,protocol-v3,0.8,0,5,0.46929999999999994,0.011181010687768791,0.45112800000000003,0.0025244642996089315,1.5512096300702403,0.0031527056060384503,1.5979462910704265,0.006002539384685095,708.7490355924979,0.483813994148917,5.970764475001488,0.02170232242822323
cifar10,dropout,mlp,protocol-v3,1.0,0,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.3554942232114695,0.0049414823217903865,1.5339038178871245,0.012573918080331413,704.2155823742539,0.7286165892592049,5.831681007985026,0.013896758527767367
cifar10,pruning,cnn,protocol-v3,0.2,0,5,0.26252,0.00674292221518237,0.26635200000000003,0.006650813484078474,5.892900329367792,0.0034846813102086083,12.503427346143663,0.0026284001092891987,723.7846707161126,1.1674523436358362,10.945385924808216,0.012735773535586779
cifar10,pruning,cnn,protocol-v3,0.4,0,5,0.41298,0.018290899376465858,0.42306799999999994,0.011468570965905043,5.89071837196698,0.012631733990951188,12.507206244635897,0.007273674331254021,723.7623321611253,0.4813824044254066,10.951169383199886,0.009488333680825141
cifar10,pruning,cnn,protocol-v3,0.6,0,5,0.5494399999999999,0.03205273779258177,0.57138,0.022133526605581856,5.890362005284163,0.0061008999028083835,12.50386004494371,0.003924787730663223,723.520324488491,1.3410422708461605,10.93756095819408,0.010511807153164472
cifar10,pruning,cnn,protocol-v3,0.8,0,5,0.68116,0.02078131372170682,0.709616,0.01426695062022714,5.895282882287531,0.010640804102680814,12.505013256947851,0.0034074086509025313,723.9947836743393,0.5883156932132005,10.94212790778838,0.018349834552273812
cifar10,pruning,cnn,protocol-v3,1.0,0,5,0.74298,0.008561950712308494,0.779068,0.009458600319286121,5.894185913314173,0.004453250176468477,12.502277364758987,0.004345339836677707,724.6663736146633,1.7082355260309894,10.956930958211888,0.006824215541642449
cifar10,pruning,mlp,protocol-v3,0.2,0,5,0.22324000000000002,0.009420881062830596,0.2259,0.008095084928522988,1.4509126149793907,0.007268464778604564,1.6378006378215226,0.00554520778501063,704.4972426470588,2.1857251164859415,5.9931841834099036,0.02126226404297637
cifar10,pruning,mlp,protocol-v3,0.4,0,5,0.30626,0.011190531712121638,0.31717199999999995,0.016866526613384277,1.4542332943687186,0.007995618503719402,1.6375332128018663,0.00430963892678309,703.611080029838,0.762370817963022,5.9992689833976325,0.0187671291888747
cifar10,pruning,mlp,protocol-v3,0.6,0,5,0.37638,0.01968075201815216,0.39345600000000003,0.02215806128703501,1.4500789433333745,0.003775945403580444,1.6353670130038687,0.005577491135015537,704.651353367434,1.713253044101202,5.983157874993049,0.01007849631099135
