dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_gradient_retention,v6_selection_mode,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,v7_dense_warmup_epochs,v7_dense_correction_steps,v7_layer_keep_ratios,v7_early_bird_min_events,v7_early_bird_min_steps,timing_detail,record_batch_metrics,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,child_val_accuracy_mean,child_val_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std,best_epoch_mean,best_epoch_std,epochs_completed_mean,epochs_completed_std,total_training_time_mean,total_training_time_std,data_transfer_ms_mean,data_transfer_ms_std,selection_refresh_ms_mean,selection_refresh_ms_std,zero_grad_ms_mean,zero_grad_ms_std,loss_ms_mean,loss_ms_std,memory_measurement_ms_mean,memory_measurement_ms_std,optimizer_step_ms_mean,optimizer_step_ms_std,post_step_ms_mean,post_step_ms_std,instrumentation_ms_mean,instrumentation_ms_std,batch_wall_ms_mean,batch_wall_ms_std,unaccounted_ms_mean,unaccounted_ms_std,child_refresh_events_mean,child_refresh_events_std,gradient_scoring_events_mean,dense_scoring_time_mean,selector_scoring_time_mean,child_rebuild_time_mean,dense_correction_events_mean,dense_correction_events_std,effective_keep_ratio_mean,effective_keep_ratio_min,effective_keep_ratio_max,topology_frozen_fraction,topology_freeze_step_mean,mask_distance_mean
cifar10,dense,cnn,protocol-v7-hybrid-smoke-v1,1.0,0,0,0,,,,False,0,,0,0,,0,0,basic,False,1,0.7516,,0.79568,,,,6.308366700797233,,12.97677738611079,,531.4296515345269,,10.943205574981402,,4.0,,5.0,,54.71602787490701,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15473584620672423,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,
cifar10,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,0,0,,0,0,basic,False,1,0.5581,,0.6035,,0.6208,,1.3740545884250626,,2.7561667045373017,,788.6665920716113,,5.170039966783952,,5.0,,5.0,,25.85019983391976,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1614504142442836,,0.0,,0.0,,38.0,,38.0,0.7434358348837103,0.8174198791966752,0.899371792096643,0.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,925.0,0.1566737578470654
cifar10,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,0,25,,10,0,basic,False,1,0.6154,,0.61366,,0.6175,,1.5442535342514736,,3.113083684753786,,746.2459478900256,,6.079812233196572,,5.0,,5.0,,30.399061165982857,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.13279667108669624,,0.0,,0.0,,95.0,,39.0,0.4184606640483245,0.4940767090301944,1.2409390448592557,75.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,500.0,0.12103600840500639
cifar10,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,1,0,,10,0,basic,False,1,0.5866,,0.48046,,,,2.275227572408019,,4.758668019998377,,656.0267742966752,,7.090085233200807,,1.0,,5.0,,35.450426166004036,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.16619440399186194,,0.0,,0.0,,55.0,,55.0,0.9879887051647502,1.0917887949035472,1.2965688740950978,0.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,1350.0,0.17073306458608503
cifar10,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,1,25,"[1.0, 0.5, 0.2]",10,0,basic,False,1,0.7405,,0.77444,,0.7416,,4.130397111956274,,8.71885888557757,,437.6124040920716,,9.879299774812534,,5.0,,5.0,,49.39649887406267,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.12494506158977099,,0.0,,0.0,,74.0,,27.0,0.2559637089143501,0.3152731220470724,0.9403171218582393,60.0,,0.2837701612903225,0.2837701612903225,0.2837701612903225,1.0,350.0,0.09290478350339365
cifar10,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,1,25,,10,0,basic,False,1,0.6583,,0.67104,,0.6688,,2.4664956958406603,,5.169324906688145,,479.3502317774936,,7.907357883185614,,5.0,,5.0,,39.53678941592807,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1996349985472986,,0.0,,0.0,,95.0,,70.0,0.6377833740552874,0.775794753164515,1.4664053287124215,60.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,909.0,0.14271428173942644
cifar100,dense,cnn,protocol-v7-hybrid-smoke-v1,1.0,0,0,0,,,,False,0,,0,0,,0,0,basic,False,1,0.4207,,0.50436,,,,6.469187123255512,,13.802833975080706,,390.0667918797954,,11.371317141805775,,5.0,,5.0,,56.85658570902888,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.19414707740806558,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,
cifar100,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,0,0,,0,0,basic,False,1,0.2331,,0.22954,,0.2375,,1.3551066576888584,,2.8548425456205995,,619.8079283887469,,5.246675308584235,,5.0,,5.0,,26.233376542921178,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.13422118011585504,,0.0,,0.0,,38.0,,38.0,0.7414929601363819,0.8163886638358218,0.9106410811073127,0.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,925.0,0.18322653058560964
cifar100,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,0,25,,10,0,basic,False,1,0.2663,,0.26212,,0.2716,,1.5552890929154772,,3.25122976763755,,656.8813778772378,,6.181095624808222,,5.0,,5.0,,30.90547812404111,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1380497199671344,,0.0,,0.0,,95.0,,39.0,0.4165299589512861,0.4916863335529326,1.2390003336477045,75.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,500.0,0.11663904151603344
cifar100,ssb-v7,cnn,protocol-v7-hybrid-smoke-v1,0.2,0,0,25,,fixed,taylor,True,5,0.1,1,0,,10,0,basic,False,1,0.1892,,0.11098,,,,2.3076693965669444,,4.919010367842288,,613.549824168798,,6.929140108195133,,1.0,,5.0,,34.64570054097567,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1418174225408189,,0.0,,0.0,,37.0,,37.0,0.665942586027084,0.7404402111424115,0.8697269589174521,0.0,,0.2001008064516129,0.2001008064516129,0.2001008064516129,1.0,900.0,0.1430596268635952
